scenario,request_type,run,error_rate_mean,error_rate_std,error_rate_min,error_rate_max
Low,Authorize,1,0.0,0.0,False,False
Low,Authorize,2,0.0,0.0,False,False
Low,Deregistration,1,0.4,0.5163977794943222,False,True
Low,Deregistration,2,0.4,0.5163977794943222,False,True
Low,Grant,1,0.7,0.48304589153964794,False,True
Low,Grant,2,0.7,0.48304589153964794,False,True
Low,Registration,1,0.4,0.5163977794943222,False,True
Low,Registration,2,0.4,0.5163977794943222,False,True
Low,Relinquishment,1,0.4,0.5163977794943222,False,True
Low,Relinquishment,2,0.4,0.5163977794943222,False,True
Low,Revoke,1,0.0,0.0,False,False
Low,Revoke,2,0.0,0.0,False,False
Medium,Authorize,1,0.0,0.0,False,False
Medium,Authorize,2,0.0,0.0,False,False
Medium,Deregistration,1,0.0,0.0,False,False
Medium,Deregistration,2,0.0,0.0,False,False
Medium,Grant,1,0.0,0.0,False,False
Medium,Grant,2,0.0,0.0,False,False
Medium,Registration,1,0.0,0.0,False,False
Medium,Registration,2,0.0,0.0,False,False
Medium,Relinquishment,1,0.0,0.0,False,False
Medium,Relinquishment,2,0.0,0.0,False,False
Medium,Revoke,1,0.0,0.0,False,False
Medium,Revoke,2,0.0,0.0,False,False
High,Authorize,1,0.0,0.0,False,False
High,Authorize,2,0.0,0.0,False,False
High,Deregistration,1,0.6683333333333333,0.4712047808168581,False,True
High,Deregistration,2,0.7416666666666667,0.43808342131258193,False,True
High,Grant,1,0.7416666666666667,0.43808342131258166,False,True
High,Grant,2,0.675,0.46876565082386384,False,True
High,Registration,1,0.6666666666666666,0.47179784962107163,False,True
High,Registration,2,0.74,0.4390002300720798,False,True
High,Relinquishment,1,0.675,0.4687656508238639,False,True
High,Relinquishment,2,0.705,0.45642327249252773,False,True
High,Revoke,1,0.0,0.0,False,False
High,Revoke,2,0.0,0.0,False,False
Stress,Authorize,1,0.0,0.0,False,False
Stress,Authorize,2,0.0,0.0,False,False
Stress,Deregistration,1,0.7466666666666667,0.4350652173921497,False,True
Stress,Deregistration,2,0.7353333333333333,0.44130267873466933,False,True
Stress,Grant,1,0.7593333333333333,0.4276308388221825,False,True
Stress,Grant,2,0.7493333333333333,0.4335414563242943,False,True
Stress,Registration,1,0.7466666666666667,0.43506521739214965,False,True
Stress,Registration,2,0.7353333333333333,0.4413026787346692,False,True
Stress,Relinquishment,1,0.756,0.4296359598994163,False,True
Stress,Relinquishment,2,0.7466666666666667,0.4350652173921498,False,True
Stress,Revoke,1,0.0,0.0,False,False
Stress,Revoke,2,0.0,0.0,False,False
