scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Low,Authorize,1,79.8,63.0,38.55674029559841,37.0,149.0,140.0,144.5,148.1
Low,Authorize,2,61.1,59.0,26.676873046808833,26.0,110.0,96.5,103.24999999999999,108.65
Low,Deregistration,1,68.0,52.0,35.808130671988756,27.0,121.0,113.8,117.39999999999999,120.28
Low,Deregistration,2,68.7,64.0,35.05567001213927,26.0,125.0,107.0,115.99999999999997,123.2
Low,Grant,1,66.8,62.5,24.357522223922714,40.0,109.0,105.4,107.19999999999999,108.64
Low,Grant,2,79.4,78.0,29.11738694014664,28.0,115.0,111.4,113.19999999999999,114.64
Low,Registration,1,69.3,57.0,31.48562282128852,30.0,117.0,102.6,109.79999999999998,115.56
Low,Registration,2,79.0,77.0,14.98888477061141,59.0,112.0,92.19999999999999,102.09999999999998,110.02000000000001
Low,Relinquishment,1,78.8,86.5,25.589928574430303,32.0,110.0,108.2,109.1,109.82
Low,Relinquishment,2,76.5,78.5,24.74424736737365,26.0,120.0,99.3,109.64999999999998,117.93
Low,Revoke,1,56.2,47.5,25.459335768589444,35.0,118.0,77.49999999999999,97.74999999999994,113.95
Low,Revoke,2,84.0,95.0,32.67346867958093,29.0,120.0,112.8,116.39999999999999,119.28
Medium,Authorize,1,32.28,25.5,15.183111297980684,24.0,87.0,52.20000000000002,71.29999999999998,86.01
Medium,Authorize,2,28.78,25.0,9.745840863743576,24.0,75.0,41.0,53.099999999999994,64.11000000000006
Medium,Deregistration,1,35.36,32.0,10.330419921647703,29.0,100.0,40.20000000000002,57.14999999999999,76.24000000000012
Medium,Deregistration,2,33.84,31.0,9.08180554290786,29.0,94.0,44.10000000000001,49.249999999999986,65.29000000000015
Medium,Grant,1,29.93,28.0,4.963004547793014,25.0,53.0,36.10000000000001,41.05,47.06000000000003
Medium,Grant,2,29.35,27.0,7.573711845001176,25.0,67.0,31.10000000000001,46.099999999999994,66.01
Medium,Registration,1,33.69,31.0,8.553686664564909,27.0,79.0,47.0,51.0,68.11000000000006
Medium,Registration,2,33.31,29.5,13.69265452272816,27.0,100.0,40.10000000000001,47.449999999999974,96.04000000000002
Medium,Relinquishment,1,27.96,26.0,5.222174940684304,24.0,55.0,34.0,38.19999999999999,46.090000000000046
Medium,Relinquishment,2,27.34,25.0,5.829600537278898,24.0,66.0,32.10000000000001,39.05,46.2000000000001
Medium,Revoke,1,29.33,27.0,7.685819291514611,24.0,83.0,36.20000000000002,43.0,50.33000000000017
Medium,Revoke,2,27.64,26.0,8.475180639295358,24.0,81.0,29.10000000000001,35.29999999999998,72.09000000000005
High,Authorize,1,500.7683333333333,524.5,221.7054958167429,29.0,1419.0,751.0,859.2499999999998,985.2299999999998
High,Authorize,2,612.9516666666667,631.0,272.66560757298333,27.0,1637.0,961.0,1045.1,1265.01
High,Deregistration,1,501.74833333333333,526.0,220.9396120757794,28.0,1418.0,751.0,870.05,985.1399999999999
High,Deregistration,2,623.6783333333333,672.5,269.03527307924435,27.0,1267.0,962.0,1027.1499999999999,1244.12
High,Grant,1,497.015,537.5,212.62303661919753,31.0,1418.0,747.1,822.1999999999998,971.0
High,Grant,2,617.8266666666667,632.5,290.5356631720914,30.0,1630.0,1002.1,1064.1999999999998,1257.08
High,Registration,1,506.2866666666667,538.0,221.7396715944629,34.0,1024.0,757.9000000000002,892.05,1000.02
High,Registration,2,613.8333333333334,630.0,268.06682361946855,33.0,1267.0,967.2,1059.0,1199.01
High,Relinquishment,1,495.3066666666667,518.5,213.48656509958403,27.0,1024.0,748.0,851.2999999999997,961.2099999999998
High,Relinquishment,2,608.2866666666666,629.5,277.3685635075816,28.0,1411.0,970.0,1067.1,1255.01
High,Revoke,1,506.93333333333334,527.0,231.29285086297577,29.0,1421.0,794.3000000000003,891.0,1014.02
High,Revoke,2,606.0516666666666,632.0,271.308710434845,28.0,1266.0,936.0,1030.05,1198.0
Stress,Authorize,1,931.7966666666666,960.0,460.77837166482215,24.0,3283.0,1500.1000000000001,1639.05,2064.1
Stress,Authorize,2,930.7066666666667,921.0,452.1811530264434,24.0,2615.0,1523.0,1654.05,2010.3799999999997
Stress,Deregistration,1,926.004,958.0,459.0823212698005,30.0,2881.0,1495.0,1629.05,2075.4199999999996
Stress,Deregistration,2,941.428,934.0,441.79971043308655,25.0,2368.0,1522.1000000000001,1642.05,1909.1799999999998
Stress,Grant,1,928.7213333333333,970.0,459.22725324720466,26.0,2843.0,1494.0,1717.1,2034.2699999999998
Stress,Grant,2,938.908,935.0,455.2545280677804,27.0,2799.0,1522.1000000000001,1653.1499999999999,2083.0699999999997
Stress,Registration,1,928.8893333333333,960.5,463.4594813790547,27.0,2666.0,1513.4000000000005,1685.05,2028.06
Stress,Registration,2,935.858,934.0,451.1280374499561,29.0,3102.0,1498.3000000000004,1654.0,1924.04
Stress,Relinquishment,1,943.3033333333333,962.0,470.1134172434035,25.0,2699.0,1510.1000000000001,1730.1,2119.0
Stress,Relinquishment,2,941.778,924.0,458.86030543358373,26.0,3481.0,1522.1000000000001,1665.0,2025.05
Stress,Revoke,1,926.8113333333333,960.0,455.8572374682564,24.0,2746.0,1510.1000000000001,1675.2999999999997,2030.2999999999997
Stress,Revoke,2,917.742,910.0,439.14214781395987,26.0,2426.0,1495.1000000000001,1651.1,1929.01
